,fabric,forge,rift,ornithe,neoforge,quilt,liteloader,Version Total
1.21.10,11849,3606,1,7,6244,3738,4,13343
1.21.9,10052,3431,1,7,5570,3592,4,11377
1.21.8,12588,3640,1,7,7934,3816,5,15305
1.21.7,10408,3623,1,7,5848,3814,4,11800
1.21.6,10281,3643,1,7,5850,3810,4,11726
1.21.5,11354,3814,1,7,6822,3916,4,13466
1.21.4,12188,3895,1,8,8526,3968,4,15905
1.21.3,9777,3393,1,8,5760,3506,4,11549
1.21.2,8793,2731,1,7,5113,3307,4,10405
1.21.1,16773,4700,1,8,16905,4441,4,26568
1.21,12092,4053,1,7,6558,4219,4,14157
1.20.6,7346,4017,1,8,3450,2741,4,9886
1.20.5,6301,3258,1,7,2091,2519,4,7858
1.20.4,9464,5373,1,8,3993,3251,4,12583
1.20.3,7114,4329,1,7,1936,2787,4,8960
1.20.2,8570,5288,1,8,2380,3196,4,10883
1.20.1,16268,22575,1,8,4658,4786,4,31607
1.20,8002,4774,1,7,1790,3459,4,9466
1.19.4,6027,5286,1,9,893,2559,4,8730
1.19.3,5392,3566,1,8,815,2420,4,6678
1.19.2,7177,7728,1,9,982,3063,5,11773
1.19.1,4580,2705,1,8,790,2161,5,5431
1.19,4896,2837,1,9,787,2252,5,5874
1.18.2,5155,5720,1,9,752,2055,4,8437
1.18.1,3369,1967,1,8,597,1263,4,4024
1.18,3087,1639,1,8,598,1229,4,3530
1.17.1,2905,1984,1,9,527,993,4,3776
1.17,2340,909,1,8,505,913,4,2476
1.16.5,2811,4025,1,9,479,821,4,5520
1.16.4,1837,1319,1,8,439,689,4,2419
1.16.3,1604,1088,1,8,435,669,4,2021
1.16.2,1537,931,1,8,434,666,4,1812
1.16.1,1360,872,1,8,424,647,4,1624
1.16,1280,719,1,8,421,639,4,1425
1.15.2,995,1080,1,8,346,519,3,1579
1.15.1,851,578,1,7,343,489,3,997
1.15,852,529,1,7,342,489,3,950
1.14.4,867,940,1,14,321,468,3,1383
1.14.3,676,471,1,13,314,426,3,773
1.14.2,667,465,1,13,313,422,3,760
1.14.1,652,434,1,13,311,420,3,722
1.14,654,433,1,13,308,417,3,725
1.13.2,361,413,22,24,234,303,3,519
1.13.1,345,305,3,21,229,294,3,391
1.13,344,305,6,21,228,292,3,394
1.12.2,141,2436,1,37,69,53,14,2537
1.12.1,92,313,1,31,50,37,9,396
1.12,94,351,1,32,52,40,10,433
1.11.2,92,307,1,26,24,31,4,391
1.11.1,76,77,1,26,22,26,4,152
1.11,78,139,1,26,24,29,4,213
1.10.2,91,330,1,26,23,31,4,412
1.10.1,75,84,1,26,20,25,4,158
1.10,75,131,1,26,21,27,5,204
1.9.4,89,190,1,27,23,30,5,273
1.9.3,73,57,1,25,21,24,4,129
1.9.2,73,56,1,25,21,24,4,128
1.9.1,73,56,1,25,21,24,4,128
1.9,74,114,1,25,23,27,4,184
1.8.9,123,600,1,37,26,30,8,718
1.8.8,73,93,1,25,22,28,5,163
1.8.7,69,48,1,25,19,24,5,118
1.8.6,69,48,1,25,19,24,5,118
1.8.5,69,48,1,25,19,24,5,118
1.8.4,69,48,1,25,19,24,5,118
1.8.3,70,48,1,25,19,25,5,119
1.8.2,69,49,1,25,19,24,5,119
1.8.1,69,50,1,25,19,24,5,120
1.8,73,89,1,25,21,29,4,158
1.7.10,81,774,1,30,18,26,8,854
1.7.9,58,28,1,26,14,23,3,91
1.7.8,58,28,1,26,14,23,3,91
1.7.7,58,28,1,26,14,23,3,91
1.7.6,58,28,1,26,14,23,3,91
1.7.5,58,28,1,26,14,23,3,91
1.7.4,58,28,1,26,14,24,3,91
1.7.3,57,27,1,26,13,23,3,88
1.7.2,61,77,1,26,14,27,4,141
1.6.4,62,101,1,26,13,25,4,168
1.6.2,52,37,0,24,8,21,3,99
1.6.1,52,16,0,24,8,21,2,77
1.5.2,53,55,0,27,6,18,3,121
1.5.1,49,31,0,25,6,17,3,93
1.4.7,52,58,0,28,6,18,2,122
1.4.6,49,35,0,25,6,17,2,95
1.4.5,49,26,0,24,6,17,2,85
1.4.4,49,14,0,24,6,17,2,73
1.4.2,50,22,0,24,6,18,2,82
1.3.2,50,32,0,27,5,16,2,93
1.3.1,47,15,0,23,5,17,2,73
1.2.5,43,50,0,20,6,13,2,102
1.2.4,40,15,0,19,6,13,2,65
1.2.3,40,24,0,19,6,13,2,74
1.2.2,40,8,0,19,6,13,2,58
1.2.1,40,8,0,20,6,13,2,59
1.1,43,25,0,22,6,13,2,80
1.0,43,18,0,21,7,12,2,74
Modloader Total,0,0,0,0,0,0,0,
